# LAMMPS data file written by OVITO Pro 3.13.0

18264 atoms
3 atom types

-79.807581902 75.8172028069 0.0 avec
-75.8172028069 -79.807581902 0.0 bvec
0.0 0.0 50.0 cvec
77.8123923544 1.9951895476 -25.0 abc origin

Masses

1 137.327  # Ba
2 47.867  # Ti
3 15.9994  # O

Atoms  # atomic

1 1 -16.8373140326 36.091664645 -1.0072707934
2 1 -16.223312422 24.1362838512 -1.0072707934
3 1 0.9975947734 -26.9350588922 -21.912581615
4 1 0.9975947734 -26.9350588922 -17.8099262042
5 1 0.9975947734 -26.9350588922 -13.7072707934
6 1 0.9975947734 -22.9446797971 -21.912581615
7 1 0.9975947734 -22.9446797971 -17.8099262042
8 1 -16.632646829 32.1065377137 -9.212581615
9 1 -16.632646829 32.1065377137 -5.1099262042
10 1 -16.632646829 32.1065377137 -1.0072707934
11 1 -16.8373140326 36.091664645 -9.212581615
12 1 -16.8373140326 36.091664645 -5.1099262042
13 1 -16.223312422 24.1362838512 -5.1099262042
14 1 0.9975947734 -30.9254379873 -21.912581615
15 1 0.9975947734 -30.9254379873 -17.8099262042
16 1 0.9975947734 -30.9254379873 -13.7072707934
17 1 -16.4279796255 28.1214107825 -9.212581615
18 1 -16.4279796255 28.1214107825 -5.1099262042
19 1 -16.4279796255 28.1214107825 -1.0072707934
20 1 0.9975947734 -38.9061961775 -17.8099262042
21 1 0.9975947734 -38.9061961775 -13.7072707934
22 1 -17.0419812361 40.0767915763 -9.212581615
23 1 -17.0419812361 40.0767915763 -5.1099262042
24 1 0.9975947734 -22.9446797971 -13.7072707934
25 1 0.9975947734 -6.9831634167 -17.8099262042
26 1 -15.6093108114 12.1809030573 -9.212581615
27 1 -15.6093108114 12.1809030573 -5.1099262042
28 1 -15.6093108114 12.1809030573 -1.0072707934
29 1 -15.4046436078 8.1957761261 -9.212581615
30 1 -15.4046436078 8.1957761261 -5.1099262042
31 1 -15.4046436078 8.1957761261 -1.0072707934
32 1 0.9975947734 -14.9639216069 -21.912581615
33 1 0.9975947734 -14.9639216069 -17.8099262042
34 1 0.9975947734 -14.9639216069 -13.7072707934
35 1 -17.0419812361 40.0767915763 -1.0072707934
36 1 -15.8139780149 16.1660299886 -9.212581615
37 1 -15.8139780149 16.1660299886 -5.1099262042
38 1 -15.8139780149 16.1660299886 -1.0072707934
39 1 -16.0186452184 20.1511569199 -9.212581615
40 1 -16.0186452184 20.1511569199 -5.1099262042
41 1 -16.0186452184 20.1511569199 -1.0072707934
42 1 0.9975947734 -18.954300702 -21.912581615
43 1 0.9975947734 -18.954300702 -17.8099262042
44 1 0.9975947734 -18.954300702 -13.7072707934
45 1 -16.223312422 24.1362838512 -9.212581615
46 1 -7.5308398094 -67.3169683647 -5.1099262042
47 1 0.9975947734 -54.8677125579 -21.912581615
48 1 0.9975947734 -54.8677125579 -17.8099262042
49 1 0.9975947734 -54.8677125579 -13.7072707934
50 1 -18.0653172538 60.0024262327 -9.212581615
51 1 -18.0653172538 60.0024262327 -5.1099262042
52 1 -18.0653172538 60.0024262327 -1.0072707934
53 1 -7.5308398094 -67.3169683647 -9.212581615
54 1 0.9975947734 -50.8773334628 -21.912581615
55 1 0.9975947734 -50.8773334628 -17.8099262042
56 1 0.9975947734 -50.8773334628 -13.7072707934
57 1 0.9975947734 -62.8484707481 -13.7072707934
58 1 -17.4513156432 48.0470454388 -1.0072707934
59 1 -7.5308398094 -67.3169683647 -1.0072707934
60 1 -7.7355070129 -63.3318414334 -9.212581615
61 1 -7.7355070129 -63.3318414334 -5.1099262042
62 1 -7.7355070129 -63.3318414334 -1.0072707934
63 1 -7.9401742165 -59.3467145022 -9.212581615
64 1 -7.9401742165 -59.3467145022 -5.1099262042
65 1 0.9975947734 -58.858091653 -21.912581615
66 1 0.9975947734 -58.858091653 -17.8099262042
67 1 0.9975947734 -58.858091653 -13.7072707934
68 1 -8.3495086235 -51.3764606396 -9.212581615
69 1 0.9975947734 -42.8965752726 -17.8099262042
70 1 0.9975947734 -34.9158170824 -21.912581615
71 1 0.9975947734 -34.9158170824 -17.8099262042
72 1 0.9975947734 -34.9158170824 -13.7072707934
73 1 -17.6559828467 52.0321723701 -9.212581615
74 1 -17.6559828467 52.0321723701 -5.1099262042
75 1 -17.6559828467 52.0321723701 -1.0072707934
76 1 -17.2466484396 44.0619185076 -9.212581615
77 1 -17.2466484396 44.0619185076 -5.1099262042
78 1 -17.2466484396 44.0619185076 -1.0072707934
79 1 0.9975947734 -42.8965752726 -21.912581615
80 1 0.9975947734 -6.9831634167 -21.912581615
81 1 0.9975947734 -42.8965752726 -13.7072707934
82 1 0.9975947734 -38.9061961775 -21.912581615
83 1 -17.8606500502 56.0172993014 -9.212581615
84 1 -17.8606500502 56.0172993014 -5.1099262042
85 1 -17.8606500502 56.0172993014 -1.0072707934
86 1 0.9975947734 -46.8869543677 -21.912581615
87 1 0.9975947734 -46.8869543677 -17.8099262042
88 1 0.9975947734 -46.8869543677 -13.7072707934
89 1 -17.4513156432 48.0470454388 -9.212581615
90 1 -17.4513156432 48.0470454388 -5.1099262042
91 1 0.9975947734 12.9687320588 -17.8099262042
92 1 -12.9486371654 -39.6257470493 -5.1099262042
93 1 -12.9486371654 -39.6257470493 -1.0072707934
94 1 -12.5393027583 -47.5960009119 -9.212581615
95 1 -12.5393027583 -47.5960009119 -5.1099262042
96 1 -12.5393027583 -47.5960009119 -1.0072707934
97 1 -12.7439699619 -43.6108739806 -9.212581615
98 1 -12.7439699619 -43.6108739806 -5.1099262042
99 1 -12.7439699619 -43.6108739806 -1.0072707934
100 1 0.9975947734 20.949490249 -21.912581615
101 1 0.9975947734 20.949490249 -17.8099262042
102 1 0.9975947734 20.949490249 -13.7072707934
103 1 -12.9486371654 -39.6257470493 -9.212581615
104 1 0.9975947734 12.9687320588 -13.7072707934
105 1 -13.1533043689 -35.640620118 -9.212581615
106 1 -13.1533043689 -35.640620118 -5.1099262042
107 1 -13.1533043689 -35.640620118 -1.0072707934
108 1 0.9975947734 16.9591111539 -21.912581615
109 1 0.9975947734 16.9591111539 -17.8099262042
110 1 0.9975947734 16.9591111539 -13.7072707934
111 1 0.9975947734 8.9783529637 -21.912581615
112 1 0.9975947734 8.9783529637 -17.8099262042
113 1 0.9975947734 8.9783529637 -13.7072707934
114 1 -21.8457769815 55.8126320979 -5.1099262042
115 1 0.9975947734 40.9013857245 -21.912581615
116 1 0.9975947734 40.9013857245 -17.8099262042
117 1 0.9975947734 40.9013857245 -13.7072707934
118 1 -12.1299683513 -55.5662547744 -9.212581615
119 1 -12.1299683513 -55.5662547744 -5.1099262042
120 1 -12.1299683513 -55.5662547744 -1.0072707934
121 1 0.9975947734 32.9206275343 -21.912581615
122 1 0.9975947734 32.9206275343 -17.8099262042
123 1 0.9975947734 32.9206275343 -13.7072707934
124 1 -21.8457769815 55.8126320979 -9.212581615
125 1 -13.3579715725 -31.6554931867 -9.212581615
126 1 -21.8457769815 55.8126320979 -1.0072707934
127 1 0.9975947734 24.9398693441 -21.912581615
128 1 0.9975947734 24.9398693441 -17.8099262042
129 1 0.9975947734 24.9398693441 -13.7072707934
130 1 -12.3346355548 -51.5811278431 -9.212581615
131 1 -12.3346355548 -51.5811278431 -5.1099262042
132 1 -12.3346355548 -51.5811278431 -1.0072707934
133 1 0.9975947734 28.9302484392 -21.912581615
134 1 0.9975947734 28.9302484392 -17.8099262042
135 1 0.9975947734 28.9302484392 -13.7072707934
136 1 -14.5859747937 -7.7447315991 -1.0072707934
137 1 -14.3813075902 -11.7298585303 -1.0072707934
138 1 0.9975947734 0.9975947735 -21.912581615
139 1 0.9975947734 0.9975947735 -17.8099262042
140 1 0.9975947734 0.9975947735 -13.7072707934
141 1 0.9975947734 -6.9831634167 -13.7072707934
142 1 -14.7906419972 -3.7596046678 -9.212581615
143 1 -14.7906419972 -3.7596046678 -5.1099262042
144 1 -14.7906419972 -3.7596046678 -1.0072707934
145 1 -14.5859747937 -7.7447315991 -9.212581615
146 1 -14.5859747937 -7.7447315991 -5.1099262042
147 1 -14.3813075902 -11.7298585303 -5.1099262042
148 1 0.9975947734 -2.9927843216 -21.912581615
149 1 -14.9953092008 0.2255222635 -9.212581615
150 1 -14.9953092008 0.2255222635 -5.1099262042
151 1 -14.9953092008 0.2255222635 -1.0072707934
152 1 -15.1999764043 4.2106491948 -9.212581615
153 1 -15.1999764043 4.2106491948 -5.1099262042
154 1 -15.1999764043 4.2106491948 -1.0072707934
155 1 0.9975947734 -10.9735425118 -21.912581615
156 1 0.9975947734 -10.9735425118 -17.8099262042
157 1 0.9975947734 -10.9735425118 -13.7072707934
158 1 -13.7673059795 -23.6852393242 -5.1099262042
159 1 -13.3579715725 -31.6554931867 -5.1099262042
160 1 -13.3579715725 -31.6554931867 -1.0072707934
161 1 -13.562638776 -27.6703662555 -9.212581615
162 1 -13.562638776 -27.6703662555 -5.1099262042
163 1 -13.562638776 -27.6703662555 -1.0072707934
164 1 0.9975947734 12.9687320588 -21.912581615
165 1 -13.9719731831 -19.7001123929 -9.212581615
166 1 -13.9719731831 -19.7001123929 -5.1099262042
167 1 -13.9719731831 -19.7001123929 -1.0072707934
168 1 -13.7673059795 -23.6852393242 -9.212581615
169 1 -8.3495086235 -51.3764606396 -5.1099262042
170 1 -13.7673059795 -23.6852393242 -1.0072707934
171 1 0.9975947734 4.9879738686 -21.912581615
172 1 0.9975947734 4.9879738686 -17.8099262042
173 1 0.9975947734 4.9879738686 -13.7072707934
174 1 0.9975947734 -2.9927843216 -17.8099262042
175 1 0.9975947734 -2.9927843216 -13.7072707934
176 1 -14.1766403866 -15.7149854616 -9.212581615
177 1 -14.1766403866 -15.7149854616 -5.1099262042
178 1 -14.1766403866 -15.7149854616 -1.0072707934
179 1 -14.3813075902 -11.7298585303 -9.212581615
180 1 -12.6475198978 32.3112049173 -5.1099262042
181 1 -2.9927843217 28.9302484392 -13.7072707934
182 1 -2.9927843217 32.9206275343 -21.912581615
183 1 -12.0335182871 20.3558241234 -1.0072707934
184 1 -2.9927843217 16.9591111539 -13.7072707934
185 1 -2.9927843217 20.949490249 -21.912581615
186 1 -2.9927843217 20.949490249 -17.8099262042
187 1 -2.9927843217 20.949490249 -13.7072707934
188 1 -2.9927843217 24.9398693441 -21.912581615
189 1 -2.9927843217 24.9398693441 -17.8099262042
190 1 -2.9927843217 24.9398693441 -13.7072707934
191 1 -12.6475198978 32.3112049173 -9.212581615
192 1 -2.9927843217 28.9302484392 -17.8099262042
193 1 -12.6475198978 32.3112049173 -1.0072707934
194 1 -2.9927843217 16.9591111539 -21.912581615
195 1 -13.2615215084 44.2665857111 -9.212581615
196 1 -13.2615215084 44.2665857111 -5.1099262042
197 1 -13.2615215084 44.2665857111 -1.0072707934
198 1 -12.8521871013 36.2963318485 -1.0072707934
199 1 -13.0568543048 40.2814587798 -9.212581615
200 1 -13.0568543048 40.2814587798 -5.1099262042
201 1 -13.0568543048 40.2814587798 -1.0072707934
202 1 -2.9927843217 16.9591111539 -17.8099262042
203 1 -11.8288510836 16.3706971921 -1.0072707934
204 1 -11.6241838801 12.3855702609 -5.1099262042
205 1 -11.6241838801 12.3855702609 -1.0072707934
206 1 -2.9927843217 40.9013857245 -21.912581615
207 1 -2.9927843217 40.9013857245 -17.8099262042
208 1 -2.9927843217 40.9013857245 -13.7072707934
209 1 -12.2381854907 24.3409510547 -9.212581615
210 1 -12.2381854907 24.3409510547 -5.1099262042
211 1 -12.2381854907 24.3409510547 -1.0072707934
212 1 -11.8288510836 16.3706971921 -9.212581615
213 1 -11.8288510836 16.3706971921 -5.1099262042
214 1 -13.875523119 56.2219665049 -9.212581615
215 1 -12.0335182871 20.3558241234 -9.212581615
216 1 -12.0335182871 20.3558241234 -5.1099262042
217 1 -2.9927843217 32.9206275343 -17.8099262042
218 1 -2.9927843217 32.9206275343 -13.7072707934
219 1 -12.8521871013 36.2963318485 -9.212581615
220 1 -12.8521871013 36.2963318485 -5.1099262042
221 1 -12.4428526942 28.326077986 -9.212581615
222 1 -12.4428526942 28.326077986 -5.1099262042
223 1 -12.4428526942 28.326077986 -1.0072707934
224 1 -2.9927843217 28.9302484392 -21.912581615
225 1 -3.7503800816 -63.1271742299 -5.1099262042
226 1 -3.3410456746 -71.0974280925 -9.212581615
227 1 -3.3410456746 -71.0974280925 -5.1099262042
228 1 -3.3410456746 -71.0974280925 -1.0072707934
229 1 -3.5457128781 -67.1123011612 -9.212581615
230 1 -2.9927843217 0.9975947735 -17.8099262042
231 1 -2.9927843217 0.9975947735 -13.7072707934
232 1 -2.9927843217 4.9879738686 -21.912581615
233 1 -2.9927843217 4.9879738686 -17.8099262042
234 1 -3.5457128781 -67.1123011612 -5.1099262042
235 1 -3.5457128781 -67.1123011612 -1.0072707934
236 1 -3.7503800816 -63.1271742299 -9.212581615
237 1 -14.284857526 64.1922203675 -1.0072707934
238 1 -3.7503800816 -63.1271742299 -1.0072707934
239 1 -2.9927843217 -2.9927843216 -21.912581615
240 1 -2.9927843217 -2.9927843216 -17.8099262042
241 1 -2.9927843217 -2.9927843216 -13.7072707934
242 1 -4.1597144887 -55.1569203673 -9.212581615
243 1 -4.1597144887 -55.1569203673 -5.1099262042
244 1 -4.1597144887 -55.1569203673 -1.0072707934
245 1 -4.3643816922 -51.1717934361 -9.212581615
246 1 -2.9927843217 -6.9831634167 -21.912581615
247 1 -2.9927843217 -6.9831634167 -17.8099262042
248 1 -2.9927843217 4.9879738686 -13.7072707934
249 1 -13.875523119 56.2219665049 -5.1099262042
250 1 -13.875523119 56.2219665049 -1.0072707934
251 1 -13.4661887119 48.2517126424 -9.212581615
252 1 -13.4661887119 48.2517126424 -5.1099262042
253 1 -13.4661887119 48.2517126424 -1.0072707934
254 1 -13.6708559154 52.2368395737 -9.212581615
255 1 -13.6708559154 52.2368395737 -5.1099262042
256 1 -2.9927843217 12.9687320588 -21.912581615
257 1 -2.9927843217 12.9687320588 -17.8099262042
258 1 -2.9927843217 12.9687320588 -13.7072707934
259 1 -11.6241838801 12.3855702609 -9.212581615
260 1 -14.0801903225 60.2070934362 -9.212581615
261 1 -14.0801903225 60.2070934362 -5.1099262042
262 1 -14.0801903225 60.2070934362 -1.0072707934
263 1 -2.9927843217 8.9783529637 -21.912581615
264 1 -2.9927843217 8.9783529637 -17.8099262042
265 1 -2.9927843217 8.9783529637 -13.7072707934
266 1 -13.6708559154 52.2368395737 -1.0072707934
267 1 -2.9927843217 0.9975947735 -21.912581615
268 1 -14.284857526 64.1922203675 -9.212581615
269 1 -14.284857526 64.1922203675 -5.1099262042
270 1 -9.5775118447 -27.4656990519 -9.212581615
271 1 -8.9635102341 -39.4210798458 -9.212581615
272 1 -8.9635102341 -39.4210798458 -5.1099262042
273 1 -8.9635102341 -39.4210798458 -1.0072707934
274 1 0.9975947734 -74.8196080335 -21.912581615
275 1 0.9975947734 -74.8196080335 -17.8099262042
276 1 0.9975947734 -74.8196080335 -13.7072707934
277 1 -2.9927843217 68.8340393901 -17.8099262042
278 1 -2.9927843217 68.8340393901 -13.7072707934
279 1 -9.3728446412 -31.4508259832 -9.212581615
280 1 -9.3728446412 -31.4508259832 -5.1099262042
281 1 -9.3728446412 -31.4508259832 -1.0072707934
282 1 -8.7588430306 -43.406206777 -1.0072707934
283 1 -9.5775118447 -27.4656990519 -5.1099262042
284 1 -2.9927843217 72.8244184853 -21.912581615
285 1 -2.9927843217 72.8244184853 -17.8099262042
286 1 -2.9927843217 72.8244184853 -13.7072707934
287 1 -9.9868462518 -19.4954451894 -1.0072707934
288 1 -9.5775118447 -27.4656990519 -1.0072707934
289 1 -9.7821790483 -23.4805721206 -9.212581615
290 1 -9.7821790483 -23.4805721206 -5.1099262042
291 1 -9.7821790483 -23.4805721206 -1.0072707934
292 1 -2.9927843217 64.8436602951 -17.8099262042
293 1 -8.5541758271 -47.3913337083 -9.212581615
294 1 -8.3495086235 -51.3764606396 -1.0072707934
295 1 -7.9401742165 -59.3467145022 -1.0072707934
296 1 -8.14484142 -55.3615875709 -9.212581615
297 1 -8.14484142 -55.3615875709 -5.1099262042
298 1 -8.14484142 -55.3615875709 -1.0072707934
299 1 0.9975947734 -62.8484707481 -21.912581615
300 1 0.9975947734 -62.8484707481 -17.8099262042
301 1 0.9975947734 -70.8292289383 -21.912581615
302 1 0.9975947734 -70.8292289383 -17.8099262042
303 1 0.9975947734 -70.8292289383 -13.7072707934
304 1 -2.9927843217 64.8436602951 -13.7072707934
305 1 -8.5541758271 -47.3913337083 -5.1099262042
306 1 -8.5541758271 -47.3913337083 -1.0072707934
307 1 -8.7588430306 -43.406206777 -9.212581615
308 1 -8.7588430306 -43.406206777 -5.1099262042
309 1 0.9975947734 -66.8388498432 -21.912581615
310 1 0.9975947734 -66.8388498432 -17.8099262042
311 1 0.9975947734 -66.8388498432 -13.7072707934
312 1 -9.1681774377 -35.4359529145 -9.212581615
313 1 -9.1681774377 -35.4359529145 -5.1099262042
314 1 -9.1681774377 -35.4359529145 -1.0072707934
315 1 -11.4195166765 8.4004433296 -9.212581615
316 1 -11.0101822695 0.430189467 -1.0072707934
317 1 -11.214849473 4.4153163983 -9.212581615
318 1 -11.214849473 4.4153163983 -5.1099262042
319 1 -10.8055150659 -3.5549374643 -9.212581615
320 1 -10.8055150659 -3.5549374643 -5.1099262042
321 1 -10.8055150659 -3.5549374643 -1.0072707934
322 1 -2.9927843217 48.8821439147 -17.8099262042
